      everybody	        NN	      S-NP
          about	        IN	      S-PP
      happiness	        NN	      S-NP
            and	        CC	         O
             my	      PRP$	      B-NP
           talk	        NN	      E-NP
          today	        NN	      S-NP
           will	        MD	      B-VP
             be	        VB	      E-VP
         mostly	        RB	    S-ADVP
          about	        IN	      S-PP
          these	        DT	      B-NP
      cognitive	        JJ	      I-NP
          traps	       NNS	      E-NP
           this	        DT	      S-NP
        applies	       VBZ	      S-VP
             to	        TO	      S-PP
      laypeople	       NNS	      S-NP
       thinking	       VBG	      S-VP
          about	        IN	      S-PP
          their	      PRP$	      B-NP
            own	        JJ	      I-NP
      happiness	        NN	      E-NP
            and	        CC	         O
             it	       PRP	      S-NP
        applies	       VBZ	      S-VP
             to	        TO	      S-PP
       scholars	       NNS	      S-NP
       thinking	       VBG	      S-VP
          about	        IN	      S-PP
      happiness	        NN	      S-NP
        because	        IN	    S-SBAR
             it	       PRP	      S-NP
          turns	       VBZ	      S-VP
            out	        RP	     S-PRT
             we	       PRP	      S-NP
            are	       VBP	      B-VP
           just	        RB	      I-VP
             as	        RB	      I-VP
         messed	       VBN	      E-VP
             up	        RP	     S-PRT
             as	        IN	      S-PP
        anybody	        NN	      S-NP
           else	        RB	    S-ADVP
             is	       VBZ	      S-VP
            the	        DT	      B-NP
          first	        JJ	      E-NP
             of	        IN	      S-PP
          these	        DT	      B-NP
          traps	       NNS	      E-NP
             is	       VBZ	      S-VP
              a	        DT	      B-NP
     reluctance	        NN	      E-NP
             to	        TO	      B-VP
          admit	        VB	      E-VP
     complexity	        NN	      S-NP
             it	       PRP	      S-NP
          turns	       VBZ	      S-VP
            out	        RP	     S-PRT
           that	        IN	    S-SBAR
            the	        DT	      B-NP
           word	        NN	      I-NP
      happiness	        NN	      E-NP
             is	       VBZ	      S-VP
           just	        RB	      B-NP
            not	        RB	      E-NP
              a	        DT	      B-NP
         useful	        JJ	      I-NP
           word	        NN	      E-NP
        anymore	        RB	    S-ADVP
        because	        IN	    S-SBAR
             we	       PRP	      S-NP
          apply	       VBP	      S-VP
             it	       PRP	      S-NP
             to	        TO	      S-PP
            too	        RB	      B-NP
           many	        JJ	      I-NP
      different	        JJ	      I-NP
         things	       NNS	      E-NP
              i	       PRP	      S-NP
          think	       VBP	      S-VP
          there	        EX	      S-NP
             is	       VBZ	      S-VP
            one	        CD	      B-NP
     particular	        JJ	      I-NP
        meaning	        NN	      E-NP
             to	        TO	      S-PP
          which	       WDT	      S-NP
             we	       PRP	      S-NP
          might	        MD	      B-VP
       restrict	        VB	      E-VP
             it	       PRP	      S-NP
            but	        CC	      S-PP
             by	        IN	      S-PP
            and	        CC	         O
          large	        JJ	      B-NP
           this	        DT	      E-NP
             is	       VBZ	      S-VP
      something	        NN	      S-NP
           that	        IN	    S-SBAR

             we	       PRP	      S-NP
           will	        MD	      B-VP
           have	        VB	      I-VP
             to	        TO	      I-VP
           give	        VB	      E-VP
             up	        RP	     S-PRT
            and	        CC	         O
             we	       PRP	      S-NP
           will	        MD	      B-VP
           have	        VB	      I-VP
             to	        TO	      I-VP
          adopt	        VB	      E-VP
            the	        DT	      B-NP
           more	       RBR	      I-NP
    complicated	        JJ	      I-NP
           view	        NN	      E-NP
             of	        IN	      S-PP
           what	        WP	      S-NP
           well	        RB	      B-VP
          being	       VBG	      E-VP
             is	       VBZ	         O

